frequency	count	LangFixed	TiobeMatch	LangFinal	Comment
sql	2502		SQL	SQL	
javascript	2281		JavaScript	JavaScript	
html	1642	markup	#N/A	markup	
python	1623		Python	Python	
css	1108	markup	#N/A	markup	
java	1075		Java	Java	
typescript	1061		TypeScript	TypeScript	
	965	NA	#N/A	NA	
bash/shell	898	bash	#N/A	bash	
.net	688	Visual Basic	#N/A	Visual Basic	
php	668		PHP	PHP	
c#	586		C#	C#	
go	314		Go	Go	
vba	182	Visual Basic	#N/A	Visual Basic	
c++	164		C++	C++	
kotlin	144		Kotlin	Kotlin	
c	111		C	C	
groovy	109		Groovy	Groovy	
r	96		R	R	
ruby	91		Ruby	Ruby	
arduino	59	C++	#N/A	C++	Arduino uses a variant of the C++ programming language. The code is written in C++ with an addition of special methods and functions.
scala	58		Scala	Scala	
cobol	57		COBOL	COBOL	
swift	54		Swift	Swift	
abap	52		ABAP	ABAP	
dart	39		Dart	Dart	
perl	34		Perl	Perl	
rust	33		Rust	Rust	
solidity	29		Solidity	Solidity	
powershell	27		PowerShell	PowerShell	
delphi	26	Delphi/Object Pascal	#N/A	Delphi/Object Pascal	
objective-c	24		Objective-C	Objective-C	
smalltalk	19		Smalltalk	Smalltalk	
elixir	15		Elixir	Elixir	
genexus	15	Bussines solution	#N/A	Bussines solution	
matlab	15		MATLAB	MATLAB	
apex	14		Apex	Apex	
terraform	13	IAC	#N/A	IAC	
assembler	12	Assembly language	#N/A	Assembly language	
dax	8	Bussines analytics	#N/A	Bussines analytics	
ansible	7	IAC	#N/A	IAC	
pl/sql	7		PL/SQL	PL/SQL	
clojure	7		Clojure	Clojure	
erlang	6		Erlang	Erlang	
xml	4	markup	#N/A	markup	
react	3	JavaScript	#N/A	JavaScript	
sas	3		SAS	SAS	
al	3	Not Listed	#N/A	Not Listed	
salesforce	3	Bussines solution	#N/A	Bussines solution	
plsql	3	PL/SQL	#N/A	PL/SQL	
bash	3		Bash	Bash	
visual foxpro	3	(Visual) FoxPro	#N/A	(Visual) FoxPro	
vb6	3	Visual Basic	#N/A	Visual Basic	
x++	3		X++	X++	
.	3	NA	#N/A	NA	
ninguna	3	NA	#N/A	NA	
power bi	2	Bussines analytics	#N/A	Bussines analytics	
no	2	NA	#N/A	NA	
oracle	2	Database	#N/A	Database	
rpg	2		RPG	RPG	
figma	2	Not Listed	#N/A	Not Listed	
-	2	NA	#N/A	NA	
mulesoft	2	Bussines solution	#N/A	Bussines solution	
ninguno	2	NA	#N/A	NA	
stata	2		Stata	Stata	
rpgle	2	Not Listed	#N/A	Not Listed	
apex salesforce	2	Bussines solution	#N/A	Bussines solution	
gosu	2		Gosu	Gosu	
lua	2		Lua	Lua	
hcl	2	IAC	#N/A	IAC	
actionscript	2		ActionScript	ActionScript	
pl sql	2	PL/SQL	#N/A	PL/SQL	
no programo	2	NA	#N/A	NA	
esql	2	Not Listed	#N/A	Not Listed	
4 y freerpg	1	Not Listed	#N/A	Not Listed	
nodejs	1	JavaScript	#N/A	JavaScript	
haskell	1		Haskell	Haskell	
puesto no requiere estas herramientas soy jefa de comunicaciones	1	NA	#N/A	NA	
sql server	1	Database	#N/A	Database	
vbscript	1		VBScript	VBScript	
windows powershell	1	powershell	#N/A	powershell	
kql kusto	1	Not Listed	#N/A	Not Listed	
pascal	1	Delphi/Object Pascal	#N/A	Delphi/Object Pascal	
ile rpg	1	Not Listed	#N/A	Not Listed	
